1,3,NSX
1,2,LEGEND
1,1,INTEGRA
2,2,2335
2,1,2141
3,20,MITO
3,19,BRERA
3,18,159
3,17,GT
3,16,147
3,15,166
3,14,156
3,13,RIO
3,12,ZAGATO
3,11,SPYDER
3,10,GTV
3,9,GIULIETTA
3,8,ALFETA
3,7,ALFASUD
3,6,75
3,5,33
3,4,164
3,3,155
3,2,146
3,1,145
4,10,SPARTANA
4,9,324
4,8,320
4,7,246
4,6,244
4,5,243
4,4,10.9
4,3,10.6
4,2,10.4
4,1,10.1
5,4,TOWNER
5,3,TOPIC
5,2,ROCSTA
5,1,AM
6,29,RS7
6,28,S6
6,27,S7
6,26,Q3
6,25,A7
6,24,RS5
6,23,A1
6,22,Q5
6,21,S5
6,20,A5
6,19,R8
6,18,Q7
6,17,90
6,16,RS6
6,15,DKW
6,14,RS4
6,13,ALLROAD
6,12,S4
6,11,S3
6,10,TT
6,9,5000
6,8,CABRIOLET
6,7,A8
6,6,A3
6,5,A6
6,4,A4
6,3,80
6,2,200
6,1,100
7,1,Y 10
8,60,M 4
8,59,X4
8,58,X 5 L/15
8,57,435
8,56,428
8,55,235
8,54,220
8,53,135
8,52,130
8,51,125
8,50,120
8,49,118
8,48,640
8,47,M 1
8,46,DE CARLO
8,45,X 1
8,44,X 6
8,43,335
8,42,M 6
8,41,650
8,40,550
8,39,116
8,38,645
8,37,545
8,36,X 3
8,35,Z 4
8,34,Z 8
8,33,330
8,32,X 5
8,31,M 5
8,30,324
8,29,523
8,28,745
8,27,733
8,26,Z 3
8,25,M 3
8,24,850
8,23,840
8,22,750
8,21,740
8,20,735
8,19,730
8,18,728
8,17,635
8,16,633
8,15,628
8,14,540
8,13,535
8,12,530
8,11,528
8,10,525
8,9,524
8,8,520
8,7,518
8,6,328
8,5,325
8,4,323
8,3,320
8,2,318
8,1,316
9,3,LE SABRE
9,2,SKYLARK
9,1,CENTURY
10,3,DEVILLE
10,2,EL DORADO
10,1,SEVILLE
11,29,C 4 LOUNGE
11,28,C 3 L/13
11,27,C 4 AIRCROSS
11,26,DS4
11,25,C 3 PICASSO
11,24,C 3 AIRCROSS
11,23,DS3
11,22,C 4 PICASSO
11,21,C 4 GRAND PICASO
11,20,C 4
11,19,C 6
11,18,C 3
11,17,C 5
11,16,PICASSO
11,15,JUMPER
11,14,VISA
11,13,XSARA
11,12,SAXO
11,11,XM
11,10,BERLINGO
11,9,ZX
11,8,XANTIA
11,7,GS
11,6,EVASION
11,5,CX
11,4,C 15
11,3,BX
11,2,AX
11,1,2CV - 3CV
6,36,RS3
12,68,PRIZM
12,67,TRACKER
12,66,ONIX
12,65,COBALT
12,64,TRAILBLAZER
12,63,SPIN
12,62,CLASSIC
12,61,SONIC
12,60,PRISMA
12,59,CELTA
12,58,MONTANA
12,57,CRUZE
12,56,AGILE
12,55,GMC
12,54,EL CAMINO
12,53,AVEO
12,52,SPARK
12,51,CAPTIVA
12,50,COUPE
12,49,CORVETTE
12,48,METRO
12,47,AVALANCHE
12,46,GRUMMAN OLSON
12,45,VIKING
12,44,MERIVA
12,43,51 DELUXE
12,42,CORSA 2
12,41,IMPALA
12,40,SILVERADO
12,39,S-10
12,38,LUV
12,37,ZAFIRA
12,36,SATURN
12,35,BALENO
12,34,JIMNY
12,33,GRAND VITARA
12,32,SUBURBAN
12,31,GRAND BLAZER
12,30,OPALA
12,29,MONTECARLO
12,28,CAVALIER
12,27,CAPRICE
12,26,CELEBRITY
12,25,230
12,24,YUKON
12,23,ESPECIALES
12,22,VERANEIO
12,21,VECTRA
12,20,SUPREMA
12,19,OMEGA
12,17,MONZA
12,16,LUMINA
12,15,KADETT
12,14,IPANEMA
12,13,JEEP
12,12,CORSICA
12,11,CORSA
12,10,CITATION
12,9,CHEVY
12,8,CHEVETTE
12,7,CAMARO
12,6,PICK-UP
12,5,BLAZER
12,4,BERETTA
12,3,ASTRO
12,2,ASTRA
12,1,400
13,36,RENEGADE
13,35,DURANGO
13,33,COMANCHE
13,32,CHARGER
13,31,HONCHO
13,30,PATRIOT
13,29,JOURNEY
13,28,SAFARI
13,27,TOWN & COUNTRY
13,26,STEALTH
13,25,COMPASS
13,24,300
13,23,CROSSFIRE
13,22,PT CRUISER
13,21,SEBRING
13,20,GRAND CARAVAN
13,19,GRAND CHEROKEE
13,18,M
13,17,VOYAGER
13,16,CONCORDE
13,15,VIPER
13,14,VALIANT
13,13,TALON
